No,Name,PTI-IND,PPP,Total Votes,Filename
147,The educator nest international primary school street no. 6-A shah abdul latif bhitai roa,208,153,,
148,HMK public school street no. 5/A kara bai kareem jee road nawabad.,181,108,,
149,HMK public school street no. 5/A kara bai kareem jee road nawabad.,193,137,,
150,DMC boys & girls primary school no. 11/12 nayabad.,228,119,,
151,World learning grammar school shah waliullah road khadda market nayabad.,211,150,,
152,DCTO GBSS Shah Abdul Latif Bhitai Road.,226,186,,
153,DCTO GBSS Shah Abdul Latif Bhitai Road.,350,153,,
154,DCTO GBSS Shah Abdul Latif Bhitai Road.,250,87,,
155,Dalfodils children academy kachi gali khadda.,214,107,,
156,Al Makhdoom Public School Kachi Gali Khadda.,279,114,,
157,The Educator Nest.,211,143,,
158,Save The Future Private School.,193,119,,
159,Save The Future Private School.,277,152,,
160,True Guide Grammar Secondary School.,202,57,,
161,Gul-e-noor primary school yousuf haroon road.,124,389,,
162,Gul-e-noor primary school yousuf haroon road.,142,369,,
163,GGSS haji Wali Muhammad Yaqoob.,110,258,,
164,Hajiyani Academy.,96,534,,
165,Al- Shahaz School.,0,0,,
166,Dolphin Children Academy,101,245,,
167,White rose acadeny DD choudry road.,206,220,,
168,Super Star Academy.,203,216,,
169,Rexar Lane GBSS campus.,251,169,,
170,Rexar Lane GBSS campus.,199,318,,
171,Mir Ayoub GGSS.,174,101,,
172,Mir Ayoub GGSS.,254,119,,
173,Gov. Girls inter science & commerce college moosa lane lyari.,290,192,,
174,Gov. Girls inter science & commerce college moosa lane lyari.,303,69,,
175,GGSS wali muhammad hassan ali lyari.,459,56,,
176,GBSS BF Cabral campus madni masjid road.,158,133,,
177,GBSS BF Cabral campus madni masjid road.,234,86,,
178,GBSS BF Cabral campus madni masjid road.,265,90,,
179,Irania Technical GBSS Nawa Mohabit Khan G Road.,227,147,,
180,Irania Technical GBSS Nawa Mohabit Khan G Road.,247,73,,
181,KMA Boys Secondary School Atma Ram Pritam Das Road.,169,262,,
