No,Name,PTI-IND,JIP,MQM-P,PPP,Total Votes,Filename
204,"White House Grammer School (Old Atta public School) at C-6 Block-T
North Nazimabad",394,151,23,18,,
205,lqra public school mustafabad North Nazimabad,195,95,87,33,,
206,lqra public school mustafabad North Nazimabad,308,188,81,51,,
207,GBLSS ghani dehalvi nusrat bhutto colony,281,8,188,31,,
208,GBLSS ghani dehalvi nusrat bhutto colony,279,160,124,25,,
209,Mama Montessori & Grammar Secondary School Block R North Nazimbad,427,173,2,49,,
210,Mama Montessori & Grammar Secondary School Block R North Nazimbad,344,173,17,40,,
211,Mama Montessori & Grammar Secondary School Block R North Nazimbad,380,201,18,24,,
212,Abdullah girls college Block-U N.Naz,339,108,22,30,,
213,Abdullah girls college Block-U N.Naz,203,69,90,13,,
214,Board of lntermediate Education (Libraray) Block-U North Nazimabad,62,105,71,152,,
216,Pak. Kids Acedemy Pahar Gunj Christion colony N.Naz,62,81,60,132,,
218,KENZ Model AcademyPlot No. A، 116 Block Q North Nazimabad,372,199,34,19,,
219,KENZ Model AcademyPlot No. A، 116 Block Q North Nazimabad,279,183,33,24,,
220,KENZ Model AcademyPlot No. A، 116 Block Q North Nazimabad,281,81,17,100,,
221,GGSS Ebrahim Ali bahi Block-P N.Nazimabad,236,125,0,20,,
222,GGSS Ebrahim Ali bahi Block-P N.Nazimabad,72,5,1,3,,
223,GGSS Ebrahim Ali bahi Block-P N.Nazimabad,246,74,15,16,,
224,GGSS Ebrahim Ali bahi Block-P N.Nazimabad,203,207,13,37,,
225,Abdullah girls college Block-U N.Naz,215,236,4,73,,
226,Abdullah girls college Block-U N.Naz,180,224,1,73,,
227,Abdullah girls college Block-U N.Naz,244,183,103,66,,
229,GPS Hassani Mabra ColonY North Nazimabad,355,160,0,0,,
230,GPS Hassani Mabra ColonY North Nazimabad,226,2,14,47,,
233,Allemia GBSS Block-A north Nazimabad,338,197,12,0,,
234,Allemia GBSS Block-A north Nazimabad,259,124,24,6,,
235,Allemia GBSS Block-A north Nazimabad,286,158,33,3,,
236,Allemia GBSS Block-A north Nazimabad,338,197,12,0,,
237,Cosmopolitan GGS School Block-A N.Nazimabad,545,242,0,0,,
238,Cosmopolitan GGS School Block-A N.Nazimabad,394,185,19,0,,
240,Badri GBSS Block-C NNazimabad,490,147,23,13,,
241,Badri GBSS Block-C NNazimabad,396,84,12,2,,
242,Badri GBSS Block-C NNazimabad,621,69,5,7,,
243,MSB Sultan public school Block-C N.Nazimabad,446,172,13,6,,
244,MSB Sultan public school Block-C N.Nazimabad,511,139,11,8,,
245,TTC North Nazimabad Block-E,411,34,2,10,,
248,TTC North Nazimabad Block-E,623,69,2,12,,
249,TTC North Nazimabad Block-E,536,64,10,10,,
250,Govt Nationalschool Block-D North Nazimabad,362,113,23,5,,
251,Govt Nationalschool Block-D North Nazimabad,411,187,0,0,,
252,Govt Nationalschool Block-D North Nazimabad,337,134,12,4,,
253,Govt Nationalschool Block-D North Nazimabad,213,96,0,0,,
254,Govt Nationalschool Block-D North Nazimabad,283,175,12,0,,
255,Govt Nationalschool Block-D North Nazimabad,335,98,16,3,,
258,Zaheer Public School ST-5/A Block-H North Nazimabad,294,115,29,4,,
259,Zaheer Public School ST-5/A Block-H North Nazimabad,396,104,29,9,,
261,Saifee Eidi Zahabi lnstitute of Science & Tech. Block-G North Nazimabad,213,96,22,33,,
262,Saifee Eidi Zahabi lnstitute of Science & Tech. Block-G North Nazimabad,362,113,23,5,,
264,Saifee Eidi Zahabi lnstitute of Science & Tech. Block-G North Nazimabad,584,160,46,2,,
266,Premeir Govt college Block-H North Nazimabad for Boys,478,182,27,8,,
267,Premeir Govt college Block-H North Nazimabad for Boys,399,177,32,9,,
268,Premeir Govt college Block-H North Nazimabad for Boys,405,170,56,2,,
269,Premeir Govt college Block-H North Nazimabad for Boys,430,212,39,10,,
270,Premeir Govt college Block-H North Nazimabad for Boys,240,168,50,7,,
