No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
176,176 - GES Muzafrabd PS 190,164,41,133,,
177,177 - GG PS ThatiLal PS208,142,358,283,,
178,178 - GG HS Bosan Otar PS69,198,125,551,,
179,179 - GG HS Bosan Otar PS70,97,102,399,,
180,180 - G B S Basti Noo PS 60,171,256,402,,
181,181 - GG Jassay Wala PS 61,115,443,429,,
182,182 - GPS Sardar pur PS 124,274,334,302,,
183,183 - Muzafrabd PS 37,405,218,169,,
184,184 - GES Ahmad PUR BHUtaa PS 33,219,186,192,,
185,185 - GG HS M Abad PS 186,270,231,149,,
186,186 - GG HS Muzfrabd PS189,186,111,122,,
187,187 - pasko Gudam PS 25,489,101,195,,
188,188 - GSBS PS 269,545,296,82,,
189,189 - GES Jhandirabad PS 17,171,103,103,,
190,190 - PS 50,136,446,351,,
191,191 - GH ES AlamPur Ps 74,220,391,454,,
192,192 - GHSS Alampur PS 82,212,306,539,,
193,193 - GGES ChaBanan Wala PS,362,208,128,,
194,194 - GHS ShakMadina PS115,250,220,233,,
195,195 - GGHS MahiSandila ps 212,195,97,105,,
196,196 - FGPS PS127,176,29,23,,
197,197 - Mahi Kandan S PS 70,265,91,141,,
198,198 - GBS Cantt PS 132,230,133,42,,
199,199 - Unioun Counsi Office Lutfabad PS56,377,526,374,,
200,200 - Govt Girls ES Chah Banan Wala PS 13,456,315,164,,
201,201 - GHS Qasim Baila PS 179,397,243,202,,
202,202 - GHS Mahi Candian PS 211,307,162,152,,
203,203 - GGHS Mahi Canian PS 71,165,61,69,,
204,204 - GHS Sadiqabad PS 38,379,143,361,,
205,205 - GGS Community MS PS 245,206,123,163,,
206,206 - GGs Community MS PS 107,176,82,132,,
207,207 - GB PS Kotla Sadat PS 57,364,206,203,,
208,208 - GBHS Jhok Wains PS 78,122,279,375,,
209,209 - GMPS Bhadurpur PS 32,692,142,258,,
210,210 - GES Ghagra PS 128,154,139,258,,
211,211 - GPS DHOLO Wala PS 103,143,418,85,,
212,212 - GHS Maedam PUR PS 80,168,307,475,,
213,213 - GGPS Chah Mehr Wala PS 226,288,40,43,,
214,214 - GHS PS 225,332,71,51,,
215,215 - GGPS Gulshan Mehr PS 89,388,76,27,,
216,216 - GGPS Garhay Wala PS 107,242,132,251,,
217,217 - Sahi Chawan Ps 101,108,93,298,,
218,218 - GPS Basti Rata PS 109,300,159,203,,
219,219 - GMPS Buch Khusrabad PS 42,434,43,206,,
220,220 - GGES Durana Nigana PS 04,254,339,118,,
221,221 - GES Haji Pur PS 06,428,163,135,,
222,222 - ICMA PS 92,654,256,143,,
223,223 - ICMA PS 93,455,147,77,,
224,224 - SadarPur PS 106,262,167,423,,
225,225 - Tahir Pur Ps 105,307,310,349,,
226,226 - Government Boys High School Bosan Hittar,88,473,63,,
227,227 - 7 - Government Girls Elementary School Basti Khairu (Chah Karari Wala) (Female)-I,227,137,245,,
228,228 - Government Boys High School Nawab Pur,95,91,375,,
229,"229 - 48 - Government Girls High School, Muzaffarabad (Male)-II",237,168,179,,
230,"230 - 32 - Government Primary School, Khair Pur Bhutta (Female)-II",183,154,183,,
231,"231 - Government Boys Higher Secondary School, Ailam Pur (High Secondary Portion)",125,299,307,,
232,"232 - Government Girls Primary School, Pakkay Wala No. 2",408,178,238,,
233,"233 - 35 - Government Girls Elementary School, Qasim Bela (Female)-I",312,221,316,,
234,234 - GMPS PS 96,177,296,404,,
235,235 - GBPS Tiba Masood Pur PS 10,455,162,71,,
236,236 - GGES Basti KHr Pur Bhuta PS 15,224,249,280,,
237,237 - GGES Khr Pur PS 155,174,255,145,,
238,238 - GGPS Basti Bhir PS 02,195,248,107,,
239,239 - Girls Raan Lab Dariya PS 73,79,123,218,,
