No,Name,PTI-IND,MQM-P,JIP,PPP,Total Votes,Filename
128,Nakhlah Educational House for Islamic Grooming Junior Campus Block-4 Gulshan-e-Iqbal (Combined),410,19,110,16,,
129,City School of Excelance Plot No. A-130 Block-3 Gulshan-e-Iqbal (Combined),150,17,41,25,,
130,City School of Excelance Plot No. A-130 Block-3 Gulshan-e-Iqbal (Combined),281,0,124,66,,
131,Quaid e Azam College of Nursing and Allied Health Scineces (Combined),366,66,92,98,,
132,Quaid e Azam College of Nursing and Allied Health Scineces (Combined),232,45,40,278,,
133,GBSS Leemo Gabool Block 4/A Gulshan-e-Iqbal (Combined),462,58,136,232,,
134,London Cambridge School Block 4/A Gulshan-e-Iqbal (Combined),302,15,158,204,,
135,Bahria Foundation College (Combined),358,123,104,124,,
136,Bahria Foundation College (Combined),291,78,69,118,,
137,Merit N Merit School Abu Al-Hassan Isphani Road (Combined),264,22,86,8,,
138,Merit N Merit School Abu Al-Hassan Isphani Road (Combined),222,32,80,16,,
139,Merit N Merit School Abu Al-Hassan Isphani Road (Combined),272,52,87,11,,
140,Merit N Merit School Abu Al-Hassan Isphani Road (Combined),439,28,117,10,,
141,Al Akbar Grammar Schoool,194,44,80,6,,
142,Al Akbar Grammar Schoool,329,46,110,10,,
143,Al Akbar Grammar Schoool,478,54,16,0,,
144,Govt. Gulzar-e-Hijri College Metroville- III (Combined),228,28,53,4,,
145,Govt. Gulzar-e-Hijri College Metroville- III (Combined),254,11,63,6,,
146,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),228,28,53,4,,
147,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),0,0,0,0,,
148,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),0,0,0,0,,
149,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),376,9,65,11,,
150,Govt. Gulzar-e-Hijri College Metroville- III (Combined),306,27,67,19,,
151,Govt. Gulzar-e-Hijri College Metroville- III (Combined),0,0,0,0,,
152,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),368,17,44,7,,
153,Hashmat Memorial College Abu Al Hassan Isphani Road (Combined),587,85,137,14,,
154,"Govt: Girls & Boys Primary School Bux Ali Goth, Gulshan-e-Iqbal (Combined)",216,75,83,1,,
155,Faculty of Islamic Studies Inside Karachi University Campus (Combined),140,35,49,54,,
156,Faculty of Islamic Studies Inside Karachi University Campus (Combined),216,126,52,57,,
157,Faculty of Islamic Studies Inside Karachi University Campus (Combined),153,24,49,15,,
158,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),142,15,71,33,,
159,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),261,38,112,60,,
