No,Name,PTI-IND,IND,TLP,PML-N,Total Votes,Filename
173,173 - Government Girls High School 408 JB Toba Tek Singh (Combined)-I,461,44,0,136,,
174,174 - Government Girls Elementary School 410 JB Toba Tek Singh (Combined)-I,440,48,17,572,,
175,175 - Rural Health Centre 411 JB Toba Tek Singh (Combined)-I,177,20,6,363,,
176,176 - Govt. Girls Elementary School 402 JB (Combined)-I,340,65,12,665,,
177,177 - Government Girls Elementary School 403 JB Toba Tek Singh (Male)-I,409,62,33,382,,
178,178 - Government Girls Elementary School 403 JB Toba Tek Singh (Female)-I,269,53,16,265,,
179,179 - Government Girls Elementary School 405 JB Toba Tek Singh (Combined)-I,340,50,12,446,,
180,180 - Government Girls Primary School 400 JB Toba Tek Singh (Combined)-I,230,52,4,297,,
181,181 - Government Model Primary School 401 JB Daban Wala Toba Tek Singh (Combined)-I,474,85,22,356,,
182,182 - Government Model Primary School 401 JB Daban Wala Toba Tek Singh Combined-III,164,26,0,282,,
183,183 - Government Boys Primary School 393 JB Toba Tek Singh (Combined)-I,326,58,29,361,,
184,184 - Government Girls High School 393 JB Toba Tek Singh (Combined)-I,348,55,29,327,,
185,185 - Government Girls High School No.1 394 JB Toba Tek Singh (Male)-I,357,111,21,314,,
186,186 - Government Girls High School No.1 394 JB Toba Tek Singh (Female)-I,279,47,13,259,,
187,187 - Government Girls Elementary School 399 JB Toba Tek Singh (Combined)-I,385,41,20,412,,
188,188 - Government Boys Elementary School II 327 GB Pirmahal (Combined)-I,237,37,7,365,,
189,189 - Government Boys Elementary School I 327 GB Pirmahal (Male)-I,382,17,6,485,,
190,190 - Government Boys Elementary School I 327 GB Pirmahal (Female)-I,369,53,4,362,,
191,191 - Government Boys Primary School II 327 GB Pirmahal (Combined)-I,259,59,15,400,,
192,192 - Government Girls High School 327 GB Pirmahal (Male)-I,174,31,11,302,,
193,193 - Government Girls High School 327 GB Pirmahal (Female)-I,143,21,2,262,,
194,194 - Government Girls Elementary School 312 GB Pirmahal (Combined)-I,216,39,2,183,,
195,195 - Government Boys Primary School 312 GB Pirmahal (Combined)-I,386,78,11,310,,
196,196 - Government Boys High School 313 GB Pirmahal (Combined)-I,479,90,4,420,,
197,197 - Government Boys Primary School 326 GB Pirmahal (Male)-I,415,38,7,460,,
198,198 - Government Girls Elementary School 326 GB Pirmahal (Female)-I,319,65,3,387,,
199,199 - Government Boys Primary School 328 GB Pirmahal (Combined)-I,162,48,13,443,,
200,200 - Government Girls Elementary School 328 GB Pirmahal (Combined)-I,187,31,6,371,,
201,201 - Government Girls Elementary School 329 GB Pirmahal (Combined)-I,270,39,28,506,,
202,202 - Government Boys Primary School PAF Colony Shorkot Cantt Pirmahal Combined-II,135,18,3,119,,
203,203 - Government Girls Elementary School 322 GB Pirmahal (Male)-I,207,33,13,303,,
204,204 - Government Boys Primary School 322 GB Pirmahal (Female)-I,154,39,4,221,,
205,205 - Government Boys Elementary School 323 GB Pirmahal (Male)-I,248,33,4,470,,
206,206 - Government Girls Elementary School 323 GB Pirmahal (Female)-I,194,52,6,329,,
207,207 - Government Model Girls Primay School 331 GB Noor Pur Pirmahal (Male)-I,170,31,20,378,,
208,208 - Government Model Boys Primary School 331 GB Noor Pur Pirmahal Female-II,128,30,7,320,,
209,209 - Government Girls Primary School 331 GB Saleem Pur Pirmahal (Combined)-I,126,18,19,513,,
210,210 - Government Boys Primary School 331 GB Saleem Pur Pirmahal (Combined)-I,96,11,12,241,,
211,211 - Government Boys Primary School 334 GB Pirmahal (Male)-I,242,18,21,439,,
212,212 - Government Girls High School 334 GB Pirmahal (Female)-I,231,62,8,363,,
213,213 - Government Boys High School 333 GB Pirmahal (Combined)-I,197,15,7,236,,
214,214 - Government Girls High School 333 GB Pirmahal Male-II,230,23,17,492,,
215,215 - Government Girls High School 333 GB Pirmahal (Female)-I,197,24,11,381,,
216,216 - Government Model Primary School 332 GB II Pirmahal (Combined)-I,123,14,18,224,,
217,217 - Government Girls High School 332 GB Pirmahal (Male)-I,234,43,22,316,,
218,218 - Government Girls High School 332 GB Pirmahal (Female)-I,185,54,12,233,,
219,219 - Government Model Primary School 332 GB II Pirmahal (Combined)-II,232,52,26,300,,
220,220 - Government Girls Elementary School 308 GB Pirmahal (Male)-I,207,33,70,326,,
221,221 - Government Girls Elementary School 308 GB Pirmahal (Female)-I,167,40,36,273,,
222,222 - Government Boys Primary School 263 GB TTSingh (Combined)-I,242,0,55,237,,
223,223 - Government Girls Primary School 263 GB Toba Tek Singh (Combined)-I,448,0,18,451,,
224,224 - Government Boys Primary School 264 GB Toba Tek Singh (Combined)-I,145,0,5,227,,
225,225 - Government Girls Elementary School 264 GB Toba Tek Singh (Combined)-I,477,0,10,477,,
226,226 - Government Boys Primary School 265 GB Toba Tek Singh (Combined)-I,310,1,5,324,,
227,227 - Government Girls Primary School 265 GB Toba Tek Singh (Combined)-I,364,1,14,294,,
228,228 - Government Girls Primary School 287 GB-I Toba Tek Singh Combined-I,545,5,9,433,,
229,229 - Government Boys Primary School 287 GB North Toba Tek Singh (Combined)-I,371,3,45,272,,
230,230 - Government Girls Elementary School 268 GB Toba Tek Singh (Combined)-I,446,1,14,331,,
231,231 - Government Boys Primary School 268 GB Toba Tek Singh (Combined)-I,345,1,11,208,,
232,232 - Government Boys Primary School 266 GB Toba Tek Singh (Male)-I,459,0,62,375,,
233,233 - Government Girls Primary School 266 GB Toba Tek Singh (Female)-I,321,1,30,279,,
234,234 - Government Boys High School 269 GB Toba Tek Singh (Male)-I,395,1,13,386,,
235,235 - Government Girls Primary School 269 GB Kot Khitran (Female)-I,333,0,6,331,,
236,236 - Union Council Office 269 GB Toba Tek Singh (Combined)-I,231,0,10,275,,
237,237 - Union Council Office 269 GB Toba Tek Singh (Combined)-II,310,0,5,242,,
238,238 - Government Boys Primary School 270 GB Toba Tek Singh (Male)-I,385,0,43,363,,
239,239 - Government Girls Primary School 270 GB Toba Tek Singh (Female)-I,229,0,10,234,,
240,240 - Government Boys Primary School 271 GB Toba Tek Singh (Male)-I,427,2,0,395,,
241,241 - Government Girls Elementary School 271 GB-I Toba Tek Singh (Female)-I,287,0,0,247,,
242,242 - Government Girls Primary School 187 GB Toba Tek Singh (Combined)-I,423,0,27,487,,
243,243 - Government Boys Primary School 187 GB Toba Tek Singh (Male)-I,410,0,23,382,,
244,244 - Government Girls Primary School 187 GB Toba Tek Singh (Female)-I,273,2,9,245,,
245,245 - Government Boys Primary School 188 GB TTSingh (Combined)-I,350,0,14,303,,
246,246 - Government Boys Primary School 188 GB TTSingh (Combined)-II,192,0,8,204,,
247,247 - Government Girls Elementary School 188 GB I Toba Tek Singh (Combined)-III,271,0,26,226,,
248,248 - Government Girls Elementary School 188 GB I Toba Tek Singh (Combined)-IV,655,2,95,411,,
249,249 - Government Boys Primary School 515 GB Toba Tek Singh (Male)-I,381,3,88,499,,
250,250 - Government Girls Primary School 515 GB Toba Tek Singh (Female)-I,242,0,48,292,,
251,251 - Government Boys Elementary School Chora Bhojya Toba Tek Singh (Male)-I,357,0,119,270,,
252,252 - Government Girls Primary School Chora Bhojya I Toba Tek Singh (Female)-I,296,1,52,180,,
253,253 - Government Boys Elementary School 189 GB Toba Tek Singh (Combined)-I,631,0,52,403,,
254,254 - Government Girls High School 189 GB Toba Tek Singh (Combined)-III,373,0,17,266,,
255,255 - Government Girls High School 189 GB Toba Tek Singh (Combined)-II,303,0,15,266,,
256,256 - Government Boys Primary School 512 GB Toba Tek Singh (Combined)-I,163,0,32,214,,
257,257 - Government Boys Primary School 512 GB Toba Tek Singh (Combined)-II,452,2,83,387,,
258,258 - Government Boys Primary School 513 GB Toba Tek Singh (Male)-I,318,2,39,279,,
259,259 - Government Girls Elementary School 513 GB Toba Tek Singh (Female)-I,293,0,7,208,,
260,260 - Government Boys Primary School 190 GB Toba Tek Singh (Combined)-I,584,0,10,545,,
261,261 - Government Boys High School 191 GB Toba Tek Singh (Male)-I,604,1,19,309,,
262,262 - Government Girls High School 191 GB Toba Tek Singh (Female)-I,539,2,7,227,,
263,263 - Government Girls Primary School 194 GB Toba Tek Singh (Combined)-I,456,0,12,191,,
264,264 - Government Girls Primary School 194 GB Toba Tek Singh (Combined)-II,306,0,0,96,,
265,265 - Government Boys High School 184 GB Toba Tek Singh (Combined)-I,248,1,4,436,,
266,266 - Government Girls High School 184 GB Toba Tek Singh (Combined)-I,257,1,3,794,,
267,267 - Government Model Primary School 185 GB Toba Tek Singh (Combined)-I,559,1,5,271,,
268,268 - Government Model Primary School 186 GB Toba Tek Singh (Combined)-I,381,0,2,238,,
269,269 - Government Model Primary School 186 GB Toba Tek Singh (Combined)-II,168,1,4,330,,
270,270 - Government Girls Primary School 260 GB Toba Tek Singh (Combined)-I,282,3,13,738,,
271,271 - Government Boys High School 261 GB Toba Tek Singh (Male)-I,332,0,16,394,,
272,272 - Government Boys High School 261 GB Toba Tek Singh (Combined)-I,406,3,9,355,,
273,273 - Government Girls Primary School 261 GB I Toba Tek Singh (Female)-I,228,0,2,248,,
274,274 - Government Boys Elementary School 262 GB Toba Tek Singh (Combined)-I,223,0,1,307,,
275,275 - Government Girls Elementary School 262 GB Toba Tek Singh (Combined)-I,479,0,14,553,,
276,276 - Government Girls Primary School 267 GB Toba Tek Singh (Combined)-I,310,2,33,597,,
277,277 - Government Boys Primary School 360 GB Toba Tek Singh (Male)-I,279,0,22,305,,
278,278 - Government Boys Primary School 360 GB Toba Tek Singh (Combined)-I,353,0,16,351,,
279,279 - Government Girls High School 360 GB Toba Tek Singh (Female)-I,269,0,17,241,,
280,280 - Government Boys Primary School 536 GB South Toba Tek Singh (Combined)-I,522,1,18,549,,
281,281 - Government Boys High School 361 GB Toba Tek Singh (Male)-I,334,1,11,219,,
282,282 - Government Boys High School 361 GB Toba Tek Singh (Combined)-I,421,4,25,505,,
283,283 - Government Girls High School 361 GB Toba Tek Singh (Female)-I,345,0,1,178,,
284,284 - Government Girls High School 284 GB Toba Tek Singh (Male)-I,532,1,18,328,,
285,285 - Government Girls High School 284 GB Toba Tek Singh (Female)-I,431,0,6,264,,
286,286 - Government Boys High School 284 GB Toba Tek Singh (Male)-I,380,0,19,406,,
287,287 - Government Boys High School 284 GB Toba Tek Singh (Female)-I,329,1,17,292,,
288,288 - Government Girls Elementary School 291 GB Primary Portion Toba Tek Singh (Male)-I,294,0,58,345,,
289,289 - Government Girls Elementary School 291 GB Primary Portion Toba Tek Singh (Female)-I,265,1,46,300,,
290,290 - Government Girls Elementary School 291 GB Primary Portion Toba Tek Singh (Female)-II,252,0,26,214,,
291,291 - Government Girls Elementary School 291 GB Primary Portion Toba Tek Singh (Male)-II,305,0,36,273,,
292,292 - Government Boys Primary School 291 GB I Toba Tek Singh (Combined)-I,183,0,32,301,,
293,293 - Government Boys Primary School 291 GB I Toba Tek Singh (Combined)-II,100,1,27,280,,
294,294 - Government Boys Primary School 335 GB Banga Nau Toba Tek Singh (Combined)-I,403,3,9,379,,
295,295 - Government Boys Primary School 335 GB Banga Nau Toba Tek Singh (Male)-I,389,0,21,473,,
296,296 - Government Girls High School 335 GB Toba Tek Singh (Female)-I,318,3,10,414,,
297,297 - Government Boys Primary School 286 GB-I Seth abadi Toba Tek Singh (Combined)-I,342,3,44,405,,
298,298 - Government Girls Elementary School 286 GB Deh Toba Tek Singh (Male)-I,316,0,58,348,,
299,299 - Government Model Elementary School 286 GB-II Jatt Group Toba Tek Singh (Female)-I,244,2,33,223,,
300,300 - Government Model Primary School 286 GB-III Arain Group Toba Tek Singh (Combined)-I,358,2,26,623,,
301,301 - Government Boys Primary School 285 GB Abadi Deh Toba Tek Singh (Male)-I,388,2,99,334,,
302,302 - Government Boys Primary School 285 GB Abadi Deh Toba Tek Singh (Female)-I,336,1,70,258,,
303,303 - Government Girls Community Model High School 285 GB Abadi Deh Toba Tek Singh (Female)-I,386,0,66,312,,
304,304 - Government Boys Elementary School 285 GB Samundri Road Rajana Toba Tek Singh (Male)-I,452,0,85,372,,
305,305 - Government Boys Elementary School 285 GB Samundri Road Rajana Toba Tek Singh (Male)-II,307,0,62,239,,
306,306 - Government Girls Higher Secondary School Samundri Road Rajana Toba Tek Singh (Female)-I,259,0,29,135,,
