No,Name,PTI-IND,PML-N,Total Votes,Filename
110,"M.I.Wellup Girls Secondary School Chaman Colony Near Shadara More, Lahore (Male)",416,256,,
111,mi wellup girls secondar school (female),267,215,,
112,"Akhwan ul Muslimin High School, Anayat Park, Lahore (Combined)",198,99,,
113,"Akhwan ul Muslimin High School, Anayat Park, Lahore (Male)",378,280,,
114,"CDG Master Ghulam Muhammad Boys High School, Chowk Khair Din, Jia Moosa, Lahore (Combined-I)",193,105,,
115,City District Govt. Master Ghulam Muhammad  High School Jia Musa Shahdara Lahore,236,207,,
116,"CDG Master Ghulam Muhammad Boys High School, Chowk Khair Din, Jia Moosa, Lahore (Combined-II)",223,166,,
117,"Star Academy 35 GT Road, Shahdra Lahore (Male-I)",289,211,,
118,"Star Academy 35 GT Road, Shahdra Lahore (Female-I)",194,134,,
119,"Star Academy 35 GT Road, Shahdra Lahore (Male-II)",332,183,,
120,"Star Academy 35 GT Road, Shahdra Lahore (Female-II)",190,124,,
121,Akhwan ul Muslimin Girls School Fazlan WAli GAli Jia Musa,388,295,,
122,CDG Girls High School Jia Moosa Shahdara Lahore (Male),374,377,,
123,CDG Girls High School Jia Moosa Shahdara Lahore (Female),234,287,,
124,CDG Girls High School Jia Moosa Shahdara Lahore (Combined),252,269,,
125,"Al-Qalam Model High School, (Campus-I) Yousaf Park, Shahdara (Combined-I)",392,218,,
126,"Al-Qalam Model High School, (CAMPUS-II) Yousaf Park, Shahdara (Male)",470,234,,
127,"Tahir Foundation School, St. No. 5,  Yousaf Park, Lahore (Combined)",311,174,,
128,"Al-Qalam Model High School,(Campus-II) Yousaf Park, Shahdara (Female)",244,194,,
129,"Tahir Foundation School, St. No. 5,  Yousaf Park, Lahore (Male)",366,248,,
130,"Tahir Foundation School, St. No. 5,  Yousaf Park, Lahore (Female)",228,181,,
131,"Al-Qalam Model High School, (Campus-I), Yousaf Park, Shahdara (Combined-II)",284,185,,
132,"The Educators School , 25 No. Stop 82 foot pindi das road Shadara (Male)",386,316,,
133,"The Educators School , 25 No. Stop 82 foot pindi das road Shadara (Female)",239,229,,
134,City District Girls Elementary School Begum Kot (Male-I),203,183,,
135,City District Girls Elementary School Begum Kot (Male-II),173,195,,
136,City District Girls Elementary School Begum Kot (Male-III),249,259,,
137,City District Girls Elementary School Begum Kot (Female-I),192,302,,
138,City District Girls Elementary School Begum Kot (Female-II),145,276,,
139,Lahore Public School Fazal Park Shahdara Lahore (Male-I),133,197,,
140,Lahore Public School Fazal Park Shahdara Lahore (Male-II),95,219,,
141,Lahore Public School Fazal Park Shahdara Lahore (Female),129,381,,
142,"Raza Public School Shoukat Colony near Jamia Naeem ul Quran, Shahdara Lahore",208,289,,
143,"Campus of Education Shoukat Colony, Begum Kot, Shahdara Lahore (Female)",140,240,,
144,"Pakistan Grammar School Rehmat Building Fazal Park Shahdara, Lahore (Combined-I)",73,215,,
145,"Pakistan Grammar School Rehmat Building Fazal Park Shahdara, Lahore (Male)",194,265,,
146,"Pakistan Grammar School Rehmat Building Fazal Park Shahdara, Lahore (Female)",99,244,,
147,CDG Boys Middle School Yousaf Park Lahore (Combined),465,207,,
148,CDG Boys Middle School Yousaf Park Lahore (Male),474,246,,
149,CDG Boys Middle School Yousaf Park Lahore (Female),262,179,,
150,"Govt. Islahi Middle School, Abdullah Block, Yousaf Park, Shahdara, Lahore (Male)",307,224,,
151,"Govt. Islahi Middle School, Abdullah Block, Yousaf Park, Shahdara, Lahore (Female)",206,170,,
152,Islamia Modle Girls Higher Secondary School Bota Park Shahdara Lahore (Male),314,333,,
153,Islamia Modle Girls Higher Secondary School Bota Park Shahdara Lahore (Female),167,253,,
154,"Mount Everest High School, Ghosia Steet No. 6, Yousaf Park, Shahdara, Lahore",263,203,,
155,"Govt. Primary School, Mian Feroze Park, Shahdrah, Lahore (Male-I)",187,194,,
156,"Govt. Primary School, Mian Feroze Park, Shahdrah, Lahore (Male-II)",145,97,,
157,"Lahore Grammar School Mian Feroz Park Street No. 02 Shahdara, Lahore",169,251,,
158,"Oriental School Kot Muhammad Hussain Kala Khatai Road, Shahdara Lahore (Combined)",176,238,,
159,Zikrya Foundation School Jameel Park Shahdara Lahore,271,315,,
160,"Oriental School Kot Muhammad Hussain Kala Khatai Road, Shahdara Lahore (Female)",163,238,,
161,"Tahir Foundation High School, Qaiser Town Shahdra (Combined-I)",222,294,,
162,"Tahir Foundation High School, Qaiser Town Shahdra (Combined-II)",326,368,,
163,"Govt. Girls Model Middle  School, Bhutto Colony, Shahdara, Lahore",351,268,,
164,"Mateen Fatima School, Bhatto Colony, Shahdrah",232,108,,
165,"Govt. Primary School, Kot Ilam Din, Tibba Shahdara, Lahore (Male)",335,201,,
166,"Govt. Primary School, Kot Ilam Din, Tibba Shahdara, Lahore (Female)",232,184,,
167,Govt. Primary School Abbas Nagar Shahdara Lahore (Combined-I),266,200,,
168,Govt. Primary School Abbas Nagar Shahdara Lahore (Combined-II),223,193,,
