No,Name,PML-N,PPP,PTI-IND,Total Votes,Filename
86,گورنمنٹ گرلز پرائمری سکول، چک نمبر 372/گ ب (مرد),175,0,420,,
87,گورنمنٹ گرلز پرائمری سکول، چک نمبر 372/گ ب (عورت),112,0,240,,
88,گورنمنٹ بوائز پرائمری سکول، چک نمبر 373/گ ب کرمسر (مرد),0,0,0,,
89,گورنمنٹ بوائز پرائمری سکول، چک نمبر 373/گ ب کرمسر (عورت),0,0,0,,
90,گورنمنٹ گرلز پرائمری سکول،چک نمبر 373/گ ب خلدی (مشترکہ),167,0,376,,
91,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 386/گ ب (مشترکہ),192,0,33,,
92,گورنمنٹ گرلز پرائمری سکول-I، چک نمبر 387/گ ب مغرب (مشترکہ),146,0,213,,
93,گورنمنٹ گرلز پرائمری سکول- II، چک نمبر 387/گ ب ایسٹ (مشترکہ),0,0,0,,
94,گورنمنٹ بوائز ہائی سکول، چک نمبر 388/گ ب (مرد),330,0,279,,
95,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 388/گ ب (عورت),207,0,226,,
96,گورنمنٹ بوائز پرائمری سکول، چک نمبر 385/گ ب (مشترکہ),0,0,0,,
97,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 438/گ ب (مشترکہ),414,0,274,,
98,گورنمنٹ بوائز ہائی سکول، چک نمبر 461/گ ب (مشترکہ),124,0,511,,
99,گورنمنٹ بوائز ہائی سکول، چک نمبر 462/گ ب (مشترکہ),282,0,153,,
100,گورنمنٹ بوائز پرائمری سکول، چک نمبر 192/گ ب اوجلہ (مرد),476,0,386,,
101,گورنمنٹ گرلز ہائی سکول، چک نمبر 192/گ ب اوجلہ (عورت),306,0,251,,
102,گورنمنٹ بوائز پرائمری سکول، چک نمبر 192/گ ب کوٹلہ (مرد),404,0,538,,
103,گورنمنٹ گرلز پرائمری سکول، چک نمبر 192/گ ب کوٹلہ (عورت),325,0,410,,
104,گورنمنٹ بوائز ہائی سکول، چک نمبر 193/گ ب نارتھ (مرد),281,0,189,,
105,گورنمنٹ گرلز ہائی سکول، چک نمبر 193/گ ب نارتھ (عورت),254,0,210,,
106,گورنمنٹ گرلز پرائمری سکول، چک نمبر 193/گ ب ساؤتھ (مشترکہ),563,0,720,,
107,گورنمنٹ گرلز ہائی سکول، چک نمبر 195/گ ب (مشترکہ),382,0,482,,
