No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
116,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Female)",165,145,46,6,,
117,"Islamabad Model School for Boys (I-V) Mohra Solina, Islamabad. (Combined)",223,290,41,31,,
118,"Islamabad Model College for Girls, NHC, Islamabad. (Combined)",200,55,14,12,,
119,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Male)",276,74,17,11,,
120,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Female)",185,35,7,6,,
121,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Male)",270,25,9,10,,
122,"Sohail Sardar Shaheed Model School for Boys (I-V) Kuri, Islamabad. (Female)",194,31,8,11,,
123,"Islamabad Model School for Girls (I-X) Malot, Islamabad. (Male)",381,72,156,12,,
124,"Islamabad Model School for Girls (I-V) Malot, Islamabad. (Female)",336,60,135,8,,
125,"Islamabad Model School for Boys (I-V) Mall, Islamabad. (Combined)",411,97,73,20,,
126,"Islamabad Model College for Girls, Jagiot, Islamabad. (Male)",272,130,10,7,,
127,"Islamabad Model College for Girls, Jagiot, Islamabad. (Female)",234,133,9,5,,
128,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Male)",331,131,6,12,,
129,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Female)",280,170,11,11,,
130,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Combined)",241,139,1,29,,
131,"Islamabad Model College for Girls, Jagiot, Islamabad. (Combined)",282,116,3,17,,
132,"Ahad Model School, Mohrian, Islamabad. (Male)",162,132,4,5,,
133,"Ahad Model School, Mohrian, Islamabad. (Female)",166,105,1,8,,
134,"Islamabad Model School for Girls (I-VIII) Mohrian, Islamabad. (Male)",198,211,5,18,,
135,"Islamabad Model School for Girls (I-VIII) Mohrian, Islamabad. (Female)",115,150,4,12,,
136,"Islamabad Model School for Girls (I-X) NHC, Islamabad. (Combined)",157,36,3,10,,
137,"Mile Stone Public School, Farash Town, Islamabad. (Male)",151,139,18,8,,
138,"Mile Stone Public School, Farash Town, Islamabad. (Female)",122,128,27,4,,
139,"Allama Iqbal College, Park Road, Tamma, Islamabad. (Combined)",478,213,15,3,,
140,"Allama Iqbal College, Park Road, Tamma, Islamabad. (Combined)",152,48,4,12,,
141,"Islamabad Model School for Girls (I-VIII) Alipur MV, Islamabad. (Male)",459,186,20,29,,
142,"Islamabad Model School for Girls (I-VIII) Alipur MV, Islamabad. (Female)",367,135,16,8,,
143,"Muslilm Group School And College Khadrapper, Islamabad (Combined)",18,4,0,1,,
144,"Union Councial Office Ali Pur, Islamabad. (Male)",185,260,15,5,,
145,"Union Councial Office Ali Pur, Islamabad. (Female)",0,0,0,0,,
146,"Khaula Shaheed Model College for Girls (VI-XII) Punjgran, Islamabad. (Combined)",226,206,15,12,,
147,"Allama Iqbal Public School, (Ibrahim Campus) Jabbi, Islamabad. (Combined)",323,176,34,22,,
148,"Prince Sulman College Sultana Foundation,Farash Town, Lehtrar Road, Islamabad. (",230,173,8,12,,
149,"Fatima Model School, Partal, Islamabad. (Male)",341,223,13,25,,
150,"Fatima Model School, Partal, Islamabad. (Female)",233,191,9,19,,
151,"Islamabad Model School for Girls (I-V) Punjgran, Islamabad. (Male)",367,135,111,9,,
152,"Islamabad Model School for Girls (I-V) Punjgran, Islamabad. (Female)",261,121,86,3,,
153,"Boys High School Sultana Foundation, Farash Town, Islamabad. (Male)",493,151,21,42,,
154,"Boys High School Sultana Foundation, Farash Town, Islamabad. (Female)",367,98,28,13,,
155,"Islamabad Model School for Girls (I-V) Alipur (Farash Town), Islamabad. (Male)",514,167,97,55,,
156,"Islamabad Model School for Girls (I-V) Alipur (Farash Town), Islamabad. (Female)",420,121,79,33,,
