No,Name,PTI-IND,PML-N,PPP,TLP,Total Votes,Filename
133,Govt Primery School Mukhdompura,302,135,21,15,,
134,Metropolitial Corporatipon Office,483,201,28,16,,
135,Govt Girls School Khaliwala,250,97,35,4,,
136,Metropolitial Corporatipon Office (Female 1),306,104,24,11,,
137,Govt. School Machli Bazar,391,258,23,34,,
138,Govt. Frabi Hotel,470,390,40,19,,
139,Govt. Frabi Hotel (Female),276,174,27,8,,
140,Apwa Fareed Gate,378,180,28,19,,
141,Apwa Fareed Gate (Male 1),373,269,10,10,,
142,Jubilee Zanana Hospital,253,165,7,2,,
143,Govt. Boys High School Shahfatah Khan,404,214,28,11,,
144,"Govt, Mc Girls High School",427,151,8,8,,
145,"Govt, Mc Girls High School (Female 1)",338,79,21,7,,
146,Govt. Girls High School Shahfatah Khan,345,128,25,5,,
147,Govt Mc School Medical Colony,458,192,27,13,,
148,Hostel School Of Allied Sciences,380,165,18,15,,
149,Jubilee Zanana Hospital (Male 1),517,314,32,16,,
150,Govt. Girls High School Shahfatah Khan (Female 2),372,156,13,5,,
151,"Govt, Mc Girls High School Haronia",380,107,34,12,,
152,"Govt, Mc Girls High School Haronia  (Male 1)",356,205,37,16,,
153,Shahdab English School,283,280,19,10,,
154,University Public School,276,237,11,10,,
155,Govt Mc High School (Male 1),583,372,34,26,,
156,Govt Mc High School (Female 1),396,204,30,8,,
157,University Public School,444,360,40,24,,
158,Govt Mc Girlshigh School,320,228,31,15,,
159,Office Of Cantonment Fawara Chowk,364,211,16,15,,
160,Office Of Cantonment Fawara Chowk (Male 2),310,202,21,12,,
161,Wapda Colony (Female 1),232,117,22,10,,
162,Wapda Colony (Female 2),226,133,15,6,,
163,Federal Govt College (Male 1),565,157,11,20,,
164,Federal Govt College (Female 1),492,113,5,0,,
165,Universal Institute Of Health Sciences,463,249,10,10,,
166,Govt Girls School Trust Colony,395,139,22,10,,
167,Regional  Employess Oldage Institue,404,199,8,10,,
168,Govt GirLs Degree College (Male 1,472,276,21,38,,
169,Govt GirLs Degree College (Female 1,379,216,19,27,,
170,Govt GirLs Degree College Combined 1,494,223,29,21,,
171,Cant Public Institute,428,303,34,47,,
172,Govt Girls School Bhatta No. 1 (Female 1),258,231,73,8,,
173,Govt Girls School Bhatta No. 1 (Male 1),334,229,30,18,,
174,Govt Girls School Bhatta No. 1 (Female 2),219,185,39,17,,
175,Govt Girls School Bhatta No. 1 (Male 2),197,191,11,26,,
176,Govt Girls School Bhatta No. 1 (Female 1),169,191,28,14,,
177,Govt Girls School Raman,446,388,19,53,,
178,Uninion Council 21 Raman,320,194,82,33,,
179,Govt. School Basti Agha Pur,348,498,53,75,,
180,Govt. School Basti Agha Pur Female 1,191,339,115,35,,
181,Govt. School Dera Masti,258,371,44,41,,
182,Govt. Girls School Dera Masti,281,490,47,67,,
183,Govt. School Goth Gehna,240,390,51,27,,
184,Govt. School Goth Gehna (Female 1),127,244,126,24,,
185,Govt. High School Shadra (Male 1),415,172,5,16,,
186,Govt. High School Shadra (Male 2),419,274,7,19,,
187,Govt. High School Shadra (Female 1),290,91,19,10,,
188,Govt. High School Shadra (Female 2),212,121,14,6,,
189,Govt. High School  Model Town Shadra (Male 1),653,200,12,11,,
190,Govt. Girls School Basti Shadra,361,191,13,18,,
191,Bright School Railway,225,96,18,5,,
192,Union Councel Basti Shadra,321,250,36,24,,
193,Govt. Tibia College,374,238,14,27,,
194,Govt. Tibia College  (Female 1),253,174,37,15,,
195,Govt. Tibia College  (Male 2),500,194,8,13,,
196,Office Market Committee,420,127,8,9,,
197,Pace School,556,195,14,11,,
198,Homeopathic College,532,128,8,6,,
199,Govt. Abbasia School ( Female 1),494,173,6,7,,
200,Govt. Abbasia School ( Male 2),275,107,3,4,,
201,Govt. Abbasia School ( Female 2),220,204,4,1,,
202,Mc Model Town School (Male 1),468,362,13,19,,
203,Mc Model Town School (Female  1),387,226,31,8,,
204,Govt. Girls High School Habib Colony,386,204,17,11,,
205,Govt. Girls School Habib Colony (Female 1),341,149,15,8,,
206,Govt. Girls School Habib Colony (Male 1),306,88,4,5,,
207,Govt Model High School,257,66,7,5,,
208,Regional Training Institute,372,144,51,41,,
209,Staff Training College,256,70,75,17,,
210,Sadiq College (Ma;Le 1),496,189,14,9,,
211,Sadiq College (Female 1),434,119,6,1,,
212,Govt School Bhatta No. 4,176,116,29,14,,
213,Office Of Agriculture Engineering,393,337,55,77,,
214,Govt School Bhatta No. 4 (Female 2),256,213,124,25,,
215,Union Councel No. 20,546,408,49,42,,
216,Arabic School,317,220,110,29,,
217,Govt Girls School Chahshniwala,275,159,16,20,,
218,Camp Office Secterate,520,417,31,81,,
219,Govt. School Basti Hooriya,342,280,128,35,,
220,Govt. Arabic School (Male 2),349,247,43,65,,
221,Govt. Arabic School (Male 3),234,142,27,58,,
222,Govt School Gothghani,208,195,79,46,,
223,Boys School Gothghani (Female 1),148,98,51,21,,
224,Azhar Public School,324,371,301,67,,
225,Govt. School Baloch Colony,205,246,278,38,,
226,Worker Welfare High School,217,221,39,66,,
227,Wapda Complex,166,278,26,95,,
228,Worker Welfare High School (Female 1),130,164,55,32,,
229,Govt School Shadra Model Town B,551,351,11,64,,
230,Pioneer High School,267,240,9,22,,
231,Iqra School,167,149,18,3,,
232,Karkhana Zaria Allat (Male 1),576,355,21,107,,
233,Karkhana Zaria Allat (Female 1),357,226,52,50,,
234,Iqra School Combined 1,291,186,63,115,,
235,Govt Arabic School Combined 1,131,0,0,0,,
236,Govt. Boys School Fattuwali,701,351,47,104,,
237,Govt. Boys School Fattuwali Combined 1,157,125,30,32,,
238,Govt. Boys School Fattuwali Female  1,453,274,7,2,,
239,Govt School Peer Alladeta (Male 1),183,223,37,18,,
240,Govt. School Basti Qadir E Bad,203,360,41,43,,
241,Govt School Qufarabad,352,437,32,51,,
242,Govt Arabic School (Male 1),361,626,16,31,,
