No,Name,PTI-IND,PML-N,Total Votes,Filename
93,"93 - Government Girls High School Roopwal
(Combined)-I",550,488,,
94,94 - Government High school Ranjha (Male)-I,279,268,,
95,"95 - Government Girls Elementary School
Ranjha (Female)-I",337,273,,
96,"96 - Government High School Patalian (Male)-
I",128,294,,
97,"97 - Government Girls Elementary School
Patalian (Female)-I",180,308,,
98,"98 - Government Model Primary School
Peerwal (Combined)-I",136,125,,
99,"99 - Government Girls Elementary school
Alawal (Combined)-I",218,309,,
100,"100 - Government Primary School Munday
(Combined)-I",422,367,,
101,"101 - Government High School Munday
(Male)-I",252,253,,
102,"102 - Government High School Munday
(Female)-I",267,185,,
103,"103 - Government Girls Elementary School
Warrey (Combined)-I",310,356,,
104,104 - Office of Union Council Warwal (Male)-I,236,218,,
105,"105 - Government High School Warwal
(Female)-I",248,183,,
106,"106 - Government Girls High School Warwal
(Male)-I",271,255,,
107,"107 - Government High School Warwal
(Primary Portion) (Female)-I",273,251,,
108,"108 - Government Girls High School Hasal
(Male)-I",158,144,,
109,"109 - Government Girls High School Hasal
(Female)-I",174,148,,
110,"110 - Government High School Hasal
(Combined)-II",114,97,,
111,"111 - Government High School Hasal
(Combined)-II",167,207,,
112,"112 - Government Girls High School Jhamra
(Combined)-I",324,163,,
113,"113 - Government Boys High School Jhamra
(Male)-I",368,120,,
114,"114 - Government Girls High School Jhamra
(Female)-I",523,89,,
115,"115 - Government Boys High School Jhamra
(Combined)-I",733,195,,
116,"116 - Government Girls Elementary School
kahoot (Combined)-I",271,327,,
117,"117 - Government High School Munara (Male)-
I",183,236,,
118,"118 - Government High School Munara
(Female)-I",200,250,,
119,"119 - Government Girls High School Munara
(Combined)-I",364,356,,
120,"120 - Government Girls Elementary School
Wasnal (Male)-I",324,448,,
121,"121 - Government High School Wasnal
(Female)-I",308,354,,
122,"122 - Government High School Bharpur (Male)
I",452,294,,
123,"123 - Government High School Bharpur
(Female)-I",488,304,,
124,"124 - Union Council Office Bharpur
(Combined)-I",178,193,,
125,"125 - Government Girls Higher Secondary
School Bharpur (Combined)-II",368,430,,
126,"126 - Government Girls Higher Secondary
School Bharpur (Combined)-II",466,388,,
127,"127 - Government Elementary School Kallu
(Combined)-I",214,263,,
128,"128 - Government Elementary School Walana
(Male)-I",229,191,,
129,"129 - Government Girls Elementary School
Walana (Female)-I",260,171,,
130,"130 - Colonel Toqueer Hadeer Shahid
Government High School Bhatti Gujar (Male)-I",277,278,,
131,"131 - Government Girls High School Bhatti
Gujar (Female)-I",323,309,,
134,"134 - Government Primary School Mustafa
Abad (Chatwal) (Combined)-I",621,211,,
135,"135 - Government High School Jasial
(Combined)-II",409,320,,
136,"136 - Government High School Jasial
(Combined)-II",417,152,,
137,"137 - Government Girls High School Jasial
(Combined)-I",517,406,,
138,"138 - Government Girls Primary School
Gulshan Barwal (Combined)-I",309,427,,
139,"139 - Government Boys High School Traggar
(Combined)-I",272,604,,
140,"140 - Government Primary School Naka Rehan
(Combined)-I",232,425,,
141,"141 - Government High School Pihra Jangala
(Male)-I",396,342,,
142,"142 - Government Girls High School Pihra
Jangla (Female)-I",391,290,,
143,"143 - Government Boys High School Tehi
(Combined)-I",574,194,,
144,"144 - Government Girls Elementary School
Tehi (Combined)-I",504,180,,
145,"145 - Government Boys High School Tehi
(Male)-I",314,216,,
146,146 - Union Council Office Tehi (Female)-I,295,211,,
147,"147 - Government Boys High School Tehi
(Primary Portion) (Combined)-I",769,398,,
148,"148 - Government Girls High School Dudial
(Combined)-II",330,196,,
149,149 - Basic Health Unit Dudial (Combined)-I,306,104,,
150,"150 - Government Girls High School Dudial
(Primary Portion) (Combined)-I",249,76,,
151,"151 - Government Girls High School Dudial
(Combined)-II",654,258,,
152,"152 - Government Girls High School Naka
Kahoot (Combined)-I",559,220,,
153,"153 - Government High School Naka Kahoot
(Combined)-I",813,265,,
154,"154 - Government Girls High School Moorat
(Combined)-I",708,381,,
155,"155 - Government Boys High School Malakwal
(Male)-II",417,99,,
156,"156 - Government Boys High School Malakwal
(Female)-I",373,72,,
157,"157 - Government Boys High School Malakwal
(Male)-II",273,179,,
158,"158 - Government Associate College for
Women Talagang Malakwal (Female)-II",200,141,,
159,"159 - Community Welfare Center Malakwal
(Male)-I",223,126,,
160,"160 - Government Associate College for
Women Talagang Malakwal (Female)-II",217,114,,
161,"161 - Government Girls High School Malakwal
(Combined)-I",613,243,,
162,"162 - Government Boys High School Malakwal
(Primary Portion) (Combined)-I",496,273,,
163,"163 - Government High School Akwal (Male)-
III",403,230,,
164,"164 - Government Girls High School Akwal
(Primary Portion) (Female)-I",434,203,,
166,"166 - Government Girls High School Akwal
(Female)-I",211,126,,
167,"167 - Government High School Akwal (Male)-
III",311,319,,
168,"168 - Government High School Akwal
(Female)-I",300,245,,
169,169 - Government High School Saghar (Male)-I,285,87,,
170,"170 - Government High School Saghar (High
Portion) (Female)-I",330,69,,
171,"171 - Government High School Saghar
(Elementary Portion) (Male)-I",267,121,,
172,"172 - Government Girls Primary School No.3
Saghar (Female)-I",307,102,,
173,"173 - Government High School Saghar
(Primary Portion) (Combined)-I",427,130,,
174,"174 - Government Girls High School Saghar
(Combined)-II",207,159,,
175,"175 - Government Girls High School Saghar
(Combined)-II",317,188,,
176,"176 - Government High School Bilal Abad
(Combined)-I",71,337,,
177,"177 - Government Girls High School Bilal Abad
(Male)-I",353,323,,
178,"178 - Government Girls High School Bilal Abad
(Female)-I",329,313,,
179,"179 - Government High School Bilal Abad
(Male)-I",171,360,,
180,"180 - Government High School Bilal Abad
(Female)-I",166,320,,
181,"181 - Government Girls High School kallar
kahar (Male)-I",404,416,,
182,"182 - Government Girls High School kallar
kahar (Female)-I",320,290,,
183,"183 - Government Higher Secondary School
kaller kahar (Male)-I",438,415,,
184,"184 - Government Primary School (Near
Unique Public) Kallar Kahar (Female)-I",415,101,,
185,"185 - Government Boys Primary School Rehna
Saddat (Male)-I",193,394,,
186,"186 - Government Girls Elementary School
Rehna Saddat (Female)-I",190,410,,
187,"187 - Government Higher Secondary School
kaller kahar (Combined)-I",155,189,,
188,"188 - Government Elementary School Chumbi
(Combined)-I",436,364,,
189,"189 - Government High School Hattar
(Combined)-I",602,354,,
191,"191 - Tehsil Municipal Administration Office
Talagang (Male)-II",492,189,,
192,"192 - Government Girls MC High School
Talagang (Female)-I",461,125,,
193,"193 - Government Girls Primary School No. 3
Talagang Near Jinnah Park (Combined)-I",394,139,,
194,"194 - Government Girls Primary School No. 4
Talagang (Male)-I",548,310,,
195,"195 - Government Girls High School No. 5
Talagang (Female)-I",522,256,,
196,196 - Dar-e-Arqam School (Male)-I,598,323,,
197,197 - Dar-e-Arqam School (Female)-I,578,214,,
198,"198 - Government Girls High School No. 1
Talagang (Male)-I",434,224,,
199,"199 - Government Girls High School No. 1
Talagang (Female)-I",442,143,,
200,"200 - Government Boys High School No. 1
Talagang (Male)-I",648,235,,
201,"201 - Government Boys High School No. 1
Talagang (Female)-I",623,155,,
202,"202 - Government Girls Elementary School
Dhok Jhamal (Combined)-I",422,319,,
203,"203 - Government Elementary College for
Women Teachers Talagang (Male)-I",570,210,,
204,"204 - Government Elementary College for
Women Teachers Talagang (Female)-I",526,139,,
205,"205 - Government Girls Primary School Dhok
Mangial (Combined)-I",314,265,,
206,"206 - Government Boys Primary School No. 3
Talagang Gharbi (Male)-I",404,125,,
207,"207 - Government Boys Primary School No. 3
Talagang Gharbi (Female)-I",405,76,,
208,"208 - Government Primary School No. 2
Talagang (Male)-I",436,107,,
209,"209 - Government Girls High School NO.2
Talagang (Female)-II",396,63,,
210,"210 - Government Girls High School No. 6
Talagang (Male)-I",662,241,,
211,"211 - Government Girls High School NO.2
Talagang (Female)-II",532,212,,
212,"212 - Government Boys High School No. 2
Talagang (Male)-I",684,228,,
213,"213 - Government Boys High School No. 2
Talagang (Female)-I",677,168,,
214,"214 - Tehsil Municipal Administration Office
Talagang (Male)-II",594,293,,
215,215 - Highway Office Talagnag (Female)-I,487,214,,
216,"216 - Government Girls Elementary School
Dhoke Tarair Talagang (Male)-I",435,165,,
217,"217 - Government Girls Elementary School
Dhoke Tarair Talagang (Female)-I",397,161,,
218,"218 - Government Post Graduate College
Talagang (Male)-I",542,167,,
219,"219 - Government Post Graduate College
Talagang (Female)-I",476,158,,
220,"220 - Government Girls Primary School Murali
(Combined)-I",205,682,,
221,"221 - Government Primary School Naraghi
(Male)-I",291,363,,
222,"222 - Government Primary School Naraghi
(Female)-I",289,372,,
223,"223 - Government Girls High School Mirjan
(Combined)-II",344,422,,
224,"224 - Government Girls High School Mirjan
(Combined)-II",290,478,,
225,"225 - Government Boys Elementary School
Mithrala (Combined)-I",526,397,,
226,"226 - Government Elementary School Deewal
(Combined)-I",415,662,,
227,"227 - Government Boys Primary School
Datwal (Combined)-I",116,113,,
228,"228 - Government Primary School Khairchal
(Combined)-I",197,271,,
229,"229 - Government Primary School Mangral
(Dhaular) (Combined)-I",252,174,,
230,"230 - Government Boys High School Dhaular
(Male)-I",240,232,,
231,"231 - Government Boys High School Dhaular
(Female)-I",143,117,,
232,"232 - Government Primary School Dhoke
Pinhal (Combined)-I",320,253,,
233,"233 - Government Boys Primary School Dhoke
Sabal (Combined)-I",319,198,,
234,"234 - Government Boys High School Mogla
(Male)-II",243,171,,
235,"235 - Government Girls High School Mogla
(Female)-II",164,56,,
236,"236 - Government Boys High School Mogla
(Male)-II",312,219,,
237,"237 - Government Girls High School Mogla
(Female)-II",138,89,,
238,"238 - Government Boys Primary School Dhoke
Dali (Male)-I",187,193,,
239,"239 - Government Girls Primary School Dhok
Dali (Female)-I",131,123,,
240,"240 - Government Girls High School Kot
Sarang (Primary Portion) (Male)-I",250,296,,
241,"241 - Government Girls High School Kot
Sarang( Elementary Portion) (Female)-I",253,289,,
242,"242 - Government Girls High School Kot
Sarang(High Portion) (Combined)-II",225,253,,
243,"243 - Government Girls High School Kot
Sarang(High Portion) (Combined)-II",290,270,,
244,"244 - Government Girls High School Kot
Sarang( Elementary Portion) (Male)-I",246,230,,
245,"245 - Government Boys Primary School Kot
Sarang (Female)-I",274,248,,
246,"246 - Government Primary School Dhoke Gill
(Kot Sarang) (Combined)-I",177,220,,
247,"247 - Government Girls Primary School
Rehman abad (Male)-I",221,218,,
248,"248 - Government Girls Primary School
Rehman abad (Female)-I",179,136,,
249,"249 - Government Boys Primary School Dhoke
Pathan (Male)-I",244,248,,
250,"250 - Government Boys Primary School Dhoke
Pathan (Female)-I",160,174,,
251,"251 - Government Boys High School
Chakwalian (Male)-I",181,227,,
252,"252 - Government Girls High School
Chakwalian (Female)-I",142,277,,
253,"253 - Government Boys Elementary School
Adlaka (Male)-I",415,330,,
254,"254 - Government Girls Elementary School
Adlaka (Female)-I",492,371,,
255,"255 - Government Elementary School
Mamdot (Combined)-I",639,276,,
256,"256 - Government Boys High School Pira
Fatehal (Male)-I",397,435,,
257,"257 - Government Boys High School Pira
Fatehal (Female)-I",378,381,,
258,"258 - Government Girls High School Pira
Fatehal (Combined)-I",150,328,,
259,"259 - Government Girls Primary School Dhoke
Patwari (Combined)-I",183,414,,
260,"260 - Government Boys High School
Chowkhandi (Male)-I",452,424,,
261,"261 - Government Boys High School
Chowkhandi (Female)-I",413,445,,
262,"262 - Government Girls High School Bhaghtal
(Combined)-II",461,206,,
263,"263 - Government Girls High School Bhaghtal
(Combined)-II",330,381,,
264,"264 - Government Boys High School Bhaghtal
(Combined)-I",178,186,,
265,"265 - Government Elementary School Dhoke
Gattal (Bhaghtal) (Combined)-I",214,248,,
266,"266 - Government Boys Primary School Dhoke
Hum (Combined)-I",106,290,,
267,"267 - Government Boys Elementary School
Dhoke Baza (Combined)-I",312,410,,
268,"268 - Government Boys High School Jhatla
(Male)-I",304,233,,
269,"269 - Government Girls Higher Secondary
School Jhatla (Female)-II",339,248,,
270,270 - Union Council Office Jhatla (Male)-I,327,384,,
271,"271 - Government Girls Higher Secondary
School Jhatla (Female)-II",323,364,,
272,272 - Rural Health Center Jhatla (Male)-I,439,315,,
273,"273 - Government Boys High School Jhatla
(Female)-I",438,304,,
274,"274 - Government Boys Elementary School
Khichian (Combined)-I",347,367,,
275,"275 - Government High School Dhoke Nosheri
(Combined)-I",341,137,,
276,"276 - Government Girls High School Kotehra
(Male)-I",384,484,,
277,"277 - Government Boys High School Kotehra
(Female)-I",416,496,,
278,278-GES MEMOODWALA,416,328,,
279,"279 - Government Primary School Dhoke
Chab (Bhilomar) (Combined)-I",256,227,,
280,"280 - Civil Veterinary Hospital Bhilomar
(Combined)-I",358,232,,
281,"281 - Government Boys High School Bhilomar
(Male)-I",406,263,,
282,"282 - Government Girls High School Bhilomar
(Female)-I",386,216,,
283,"283 - Government Boys Primary School Nagri
(Combined)-I",74,230,,
284,"284 - Government Boys Primary School Qadir
Pur (Combined)-I",140,278,,
285,"285 - Government Higher Secondary School
Chinji (Male)-II",371,251,,
286,"286 - Government Girls High School Chinji
(Female)-II",381,260,,
287,"287 - Government Higher Secondary School
Chinji (Male)-II",454,253,,
288,"288 - Government Girls High School Chinji
(Female)-II",457,242,,
289,"289 - Government Girls Primary School Chinji
(Male)-I",404,235,,
290,"290 - Government Primary School Chinji
(Female)-I",436,215,,
291,"291 - Government Girls Elementary School
Dhoke Usri (Combined)-I",291,361,,
292,"292 - Government Primary School Dhoke
Kund Mominal (Combined)-I",484,197,,
293,"293 - Government Primary School Dhoke
Mehr Ali (Combined)-I",716,634,,
294,"294 - Government Girls Primary School Dhoke
Prerha Wali (Combined)-I",294,201,,
295,"295 - Government Primary School Dhoke
Kayala (Combined)-I",206,761,,
296,"296 - Government Boys High School Thoha
Mehram Khan (Male)-I",381,384,,
297,"297 - Government Girls Higher Secondary
School Thoha Mehram Khan (Female)-I",354,362,,
298,"298 - Government Boys Elementary School
Dhoke Kumhari (Combined)-I",776,361,,
299,"299 - Government Primary School Dhoke
Lashkaryal (Combined)-I",340,133,,
300,"300 - Government Primary School Dhoke Gar
(Combined)-I",581,290,,
301,"301 - Basic Health Unit Thoha Mehram Khan
(Combined)-I",900,328,,
302,"302 - Government High School Kurkwali
(Combined)-I",629,231,,
303,"303 - Government Girls Elementary School
Dhibba Harmal (Combined)-I",419,136,,
304,"304 - Government Primary School Dabra
Dhibba (Combined)-I",713,130,,
305,"305 - Government Primary School Kund Mian
Muhammad (Combined)-I",807,471,,
306,"306 - Government Primary School Dhoke
Peera (Combined)-I",501,76,,
307,"307 - Government Girls High School Wanhar
(Combined)-I",478,311,,
308,"308 - Government Boys Elementary School
Dhoke Faqira (Combined)-I",392,212,,
309,"309 - Government High School Wanhar
(Combined)-I",271,94,,
310,310 - Basic Health Unit Wanhar (Combined)-II,408,101,,
311,"311 - Government High School wanhar
(Primary Portion) (Bidhar Campus)",352,95,,
312,312 - Basic Health Unit Wanhar (Combined)-II,314,178,,
313,"313 - Government Boys High School Dhulli
(Combined)-II",350,449,,
314,"314 - Government Girls Primary School Dhoke
Bhira (Combined)-I",198,256,,
315,"315 - Government Girls High School Dhulli
(Male)-I",318,266,,
316,"316 - Government Girls High School Dhulli
(Female)-I",371,264,,
317,"317 - Government Boys High School Dhulli
(Combined)-II",112,231,,
318,"318 - Government Boys High School Mial
(Combined)-II",271,190,,
319,"319 - Government Boys High School Mial
(Combined)-II",145,53,,
320,"320 - Government Girls High School Mial
(Primary Portion) (Male)-I",311,119,,
321,"321 - Government Girls High School Mial
(Female)-I",304,103,,
322,"322 - Government Boys High School Dhoke
Musahib (Male)-I",161,107,,
323,"323 - Government Boys High School Dhoke
Musahib (Female)-I",142,96,,
324,"324 - Government Girls High School Daroot
(Male)-I",198,122,,
325,"325 - Government Girls High School Daroot
(Female)-I",219,143,,
326,"326 - Government Boys High School Daroot
(Combined)-II",143,97,,
327,"327 - Government Boys High School Daroot
(Combined)-II",170,219,,
328,"328 - Government Boys High School Dher
Mond (Combined)-II",74,107,,
329,"329 - Government Boys High School Dher
Mond (Combined)-II",171,183,,
330,"330 - Government Girls High School Dher
Mond (Combined)-I",156,92,,
331,"331 - Government Boys Elementary School
Dhoke Fateh Shah (Male)-I",264,124,,
332,"332 - Government Girls Elementary School
Dhoke Fateh Shah (Female)-I",229,144,,
333,"333 - Government Primary School Dhoke
Munian (Combined)-I",576,143,,
334,"334 - Government Girls Elementary School
Noor Pur Tamman (Combined)-I",521,243,,
335,"335 - Government Higher Secondary School
Tamman (Middle Portion) (Combined)-I",386,273,,
336,"336 - Government Higher Secondary School
Tamman (Higher Portion) (Male)-I",198,46,,
337,"337 - Government Higher Secondary School
Tamman (High Portion) (Female)-I",173,31,,
338,"338 - Government Girls Elementary School
Dhoke Nooral Tamman (Combined)-I",439,182,,
339,"339 - Government Elementary School Dhoke
Jhakar (Combined)-II",303,153,,
340,"340 - Government Elementary School Dhoke
Jhakar (Combined)-II",622,277,,
341,"341 - Government Girls High School Tamman
(Combined)-I",114,23,,
342,"342 - Government Girls Primary School No.2
Tamman (Combined)-I",234,42,,
343,"343 - Government Girls Primary School No.1
Bun Tamman (Male)-I",230,90,,
345,"345 - Basic Health Unit Multan Khurd
(Combined)-I",666,302,,
346,"346 - Government Girls Elementary School
Multan Khurd (Combined)-I",312,251,,
347,"347 - Government Primary School No.1
Multan Khurd (Combined)-I",284,190,,
348,"348 - Government Boys High School Multan
Khurd (Male)-I",506,266,,
349,"349 - Government Boys High School Multan
Khurd (Female)-I",465,243,,
350,"350 - Government Girls High School Multan
Khurd (Male)-I",410,236,,
351,"351 - Government Girls High School Multan
Khurd (Female)-I",346,209,,
352,"352 - Government Boys Primary School Kot
Shera (Combined)-I",262,362,,
353,"353 - Government Primary School Dhoke
Kasmal (Combined)-I",108,217,,
354,"354 - Government Boys Primary School No.2
Multan Khurd (Combined)-I",360,159,,
355,"355 - Government Boys High School khuian
(Male)-I",305,192,,
356,"356 - Government Girls High School khuian
(Female)-II",298,165,,
357,"357 - Government Girls Primary School Dhoke
Ban Masam (Khuian) (Male)-I",326,214,,
358,"358 - Government Girls High School khuian
(Female)-II",327,218,,
359,359-GES Dhoke Choi,49,251,,
360,360-GES Dhoke Choi,118,269,,
361,"361 - Government Girls Elementary School
Jabi Shah Dilawar (Combined)-II",218,170,,
362,"362 - Government Boys High School Jabi Shah
Dilawar (Combined)-I",270,236,,
363,"363 - Government Girls Elementary School
Jabi Shah Dilawar (Combined)-II",403,264,,
364,"364 - Government Boys Primary School Shah
Muhammad Wali (Combined)-I",292,193,,
365,"365 - Government Girls High School Shah
Muhammad Wali (Combined)-I",389,255,,
366,"366 - Government Primary School Dhoke Tahli
(Male)-I",265,198,,
367,"367 - Government Girls Primary School Dhoke
Tahli (Female)-I",276,187,,
368,368- GBES kotehra,187,483,,
369,369-GPS Kotehra,84,325,,
370,370-GBES SURHALI,103,390,,
371,"371 - Government Boys High School Dandi
(Male)-I",397,124,,
372,"372 - Government Girls High School Dandi
(Female)-I",384,91,,
373,"373 - Government Boys High School Dandi
(Combined)-I",399,129,,
374,374-GHS BHUDIAL,454,325,,
375,375-GHS BUDHIAL,396,316,,
376,376- GPS DHOKE JUGIAL,207,281,,
377,377-GHS PATWALI COMBINE I,370,172,,
378,378-GHS PATWALI COMBINE II,474,207,,
379,"379 - Government Boys High School Singwala
(Male)-I",371,135,,
380,"380 - Government Girls High School Singwala
(Female)-I",412,121,,
381,"381 - Government Boys High School Singwala
(Combined)-I",405,207,,
382,"382 - Government Boys High School Misrial
(Combined)-I",205,261,,
383,"383 - Government Boys High School Misrial
(Male)-I",149,142,,
384,"384 - Government Girls High School Misrial
(Female)-I",166,136,,
385,"385 - Government Girls Primary School Pather
(Combined)-I",241,73,,
386,"386 - Government Boys High School Dhoke
khalas (Combined)-I",245,35,,
387,"387 - Government Girls Elementary School
Markhal (Combined)-I",345,237,,
388,"388 - Government Girls Primary School Dhok
Ishral (Combined)-I",376,211,,
389,"389 - Government Boys Primary School Dhok
Ishral (Combined)-I",503,259,,
390,"390 - Government Elementary School Dhok
Hijal (Male)-I",184,100,,
391,"391 - Government Girls Primary School Dhok
Hijal (Female)-I",148,118,,
392,"392 - Government Boys High School Leti
(Combined)-II",325,124,,
393,"393 - Government Boys High School Leti
(Combined)-II",345,118,,
394,"394 - Government Girls High School Leti
(Combined)-I",226,43,,
395,"395 - Government Girls High School Leti
(Combined)-II",221,245,,
396,"396 - Government Elementary School Sukka
(Combined)-I",199,365,,
397,"397 - Government Girls High School Sukka
(Combined)-I",116,335,,
398,"398 - Government High School No.1 Dhurnal
(Male)-II",430,293,,
400,"400 - Government High School No.2 Dhurnal
(Male)-I",391,329,,
401,"401 - Government High School No.2 Dhurnal
(Female)-I",2,0,,
402,402 - Basic Health Unit Dhurnal (Male)-I,325,225,,
404,"404 - Government High School No.1 Dhurnal
(Male)-II",293,257,,
406,"406 - Government Girls High School Balwal
(Combined)-I",153,89,,
407,"407 - Government Elementary School Balwal
(Combined)-I",212,190,,
408,"408 - Government Girls Primary School Gattal
(Combined)-I",193,137,,
410,"410 - Government Boys High School Gattal
(Combined)-II",224,540,,
411,"411 - Government Girls Primary School Dhoke
Tiween (Combined)-I",219,281,,
412,"412 - Government Girls Primary School Dhoke
Kalaji (Combined)-I",176,139,,
413,"413 - Government Boys Elementary School
Changa (Lawa) (Combined)-I",353,278,,
414,"414 - Government Girls Elementary School
Changa (Lawa) (Combined)-I",178,464,,
415,"415 - Government Boys High School Gohal
(Combined)-I",255,341,,
416,"416 - Government Boys Elementary School
Chaki Sheikh Jee (Combined)-I",108,108,,
417,"417 - Government Girls High School Chaki
Sheikh Jaee Lawa (Combined)-II",114,157,,
