No,Name,IND,PPP,TLP,PML-N,PTI-IND,Total Votes,Filename
244,Polling Station No. 244,25,10,8,356,424,,
245,Polling Station No. 245,13,8,93,403,327,,
246,Polling Station No. 246,47,4,18,343,427,,
247,Polling Station No. 247,40,7,205,229,181,,
249,Polling Station No. 249,1,8,95,224,285,,
250,Polling Station No. 250,3,3,154,148,422,,
251,Polling Station No. 251,5,1,110,90,274,,
252,Polling Station No. 252,6,7,138,190,466,,
253,Polling Station No. 253,0,2,37,66,263,,
254,Polling Station No. 254,5,4,204,207,509,,
255,Polling Station No. 255,6,18,101,224,454,,
256,Polling Station No. 256,1,8,135,242,356,,
257,Polling Station No. 257,2,0,42,212,446,,
258,Polling Station No. 258,0,20,2,70,351,,
259,Polling Station No. 259,1,7,5,278,417,,
260,Polling Station No. 260,3,19,4,215,473,,
261,Polling Station No. 261,35,2,3,262,179,,
262,Polling Station No. 262,14,2,82,100,344,,
263,Polling Station No. 263,28,3,8,193,467,,
265,Polling Station No. 265,24,4,11,198,347,,
266,Polling Station No. 266,12,4,12,128,250,,
267,Polling Station No. 267,128,7,388,201,206,,
268,Polling Station No. 268,11,4,83,470,415,,
269,Polling Station No. 269,437,2,36,370,430,,
270,Polling Station No. 270,9,2,75,339,314,,
271,Polling Station No. 271,11,6,53,318,300,,
272,Polling Station No. 272,48,9,88,155,278,,
273,Polling Station No. 273,60,29,125,214,446,,
274,Polling Station No. 274,12,7,127,166,381,,
275,Polling Station No. 275,35,15,36,175,386,,
276,Polling Station No. 276,44,3,156,337,452,,
277,Polling Station No. 277,27,20,229,287,235,,
278,Polling Station No. 278,18,20,114,318,272,,
279,Polling Station No. 279,53,10,307,275,265,,
283,Polling Station No. 283,42,16,369,370,382,,
284,Polling Station No. 284,185,4,270,405,188,,
285,Polling Station No. 285,65,6,170,118,115,,
286,Polling Station No. 286,55,4,244,121,132,,
287,Polling Station No. 287,13,7,404,211,407,,
288,Polling Station No. 288,19,20,164,159,406,,
289,Polling Station No. 289,33,12,82,245,371,,
290,Polling Station No. 290,27,12,276,131,393,,
291,Polling Station No. 291,26,9,11,139,237,,
292,Polling Station No. 292,40,0,53,261,399,,
293,Polling Station No. 293,10,1,124,320,305,,
294,Polling Station No. 294,3,1,110,227,246,,
295,Polling Station No. 295,164,3,230,111,163,,
296,Polling Station No. 296,138,2,159,151,106,,
297,Polling Station No. 297,84,5,170,169,389,,
298,Polling Station No. 298,53,12,110,169,296,,
299,Polling Station No. 299,21,3,56,130,231,,
300,Polling Station No. 300,24,6,36,101,148,,
301,Polling Station No. 301,74,23,152,215,284,,
302,Polling Station No. 302,0,30,78,180,206,,
303,Polling Station No. 303,24,2,45,231,355,,
304,Polling Station No. 304,9,9,178,334,194,,
305,Polling Station No. 305,133,8,98,167,328,,
307,Polling Station No. 307,122,3,77,195,376,,
309,Polling Station No. 309,59,12,183,188,625,,
310,Polling Station No. 310,44,10,132,148,486,,
311,Polling Station No. 311,25,166,122,140,492,,
312,Polling Station No. 312,28,22,79,127,244,,
313,Polling Station No. 313,16,9,134,87,370,,
314,Polling Station No. 314,23,10,61,114,160,,
315,Polling Station No. 315,18,10,37,387,566,,
316,Polling Station No. 316,6,1,211,159,159,,
317,Polling Station No. 317,13,2,86,190,382,,
318,Polling Station No. 318,3,8,40,107,218,,
319,Polling Station No. 319,25,2,20,246,578,,
320,Polling Station No. 320,4,5,7,81,274,,
321,Polling Station No. 321,2,2,100,148,433,,
322,Polling Station No. 322,1,10,200,161,202,,
323,Polling Station No. 323,1,5,105,189,299,,
324,Polling Station No. 324,8,2,10,134,132,,
325,Polling Station No. 325,5,6,17,255,135,,
326,Polling Station No. 326,11,3,367,133,385,,
327,Polling Station No. 327,8,6,170,59,244,,
328,Polling Station No. 328,15,2,308,50,274,,
329,Polling Station No. 329,13,3,158,33,170,,
330,Polling Station No. 330,90,3,3,52,256,,
331,Polling Station No. 331,167,2,9,70,337,,
332,Polling Station No. 332,33,1,29,162,374,,
333,Polling Station No. 333,8,0,4,65,133,,
334,Polling Station No. 334,18,4,70,61,423,,
335,Polling Station No. 335,51,6,35,95,384,,
336,Polling Station No. 336,28,3,28,39,323,,
337,Polling Station No. 337,30,8,126,168,516,,
338,Polling Station No. 338,83,21,169,194,528,,
340,Polling Station No. 340,71,5,34,287,455,,
342,Polling Station No. 342,35,4,15,138,341,,
344,Polling Station No. 344,64,6,33,210,409,,
345,Polling Station No. 345,14,3,4,39,151,,
346,Polling Station No. 346,5,29,15,600,278,,
347,Polling Station No. 347,265,6,65,278,331,,
348,Polling Station No. 348,9,12,21,177,220,,
349,Polling Station No. 349,161,55,387,178,272,,
350,Polling Station No. 350,3,1,23,218,105,,
351,Polling Station No. 351,1,9,7,107,58,,
352,Polling Station No. 352,8,1,13,257,187,,
353,Polling Station No. 353,1,4,3,125,95,,
354,Polling Station No. 354,59,19,83,256,399,,
355,Polling Station No. 355,78,22,71,179,299,,
356,Polling Station No. 356,3,21,1,260,618,,
357,Polling Station No. 357,11,19,1,131,428,,
358,Polling Station No. 358,24,6,4,260,635,,
359,Polling Station No. 359,28,6,3,131,506,,
360,Polling Station No. 360,7,1,7,213,416,,
361,Polling Station No. 361,7,7,11,254,554,,
362,Polling Station No. 362,3,1,5,89,390,,
363,Polling Station No. 363,2,1,4,54,308,,
364,Polling Station No. 364,10,1,15,231,452,,
365,Polling Station No. 365,11,4,118,199,476,,
366,Polling Station No. 366,0,1,2,286,347,,
367,Polling Station No. 367,0,0,0,230,325,,
368,Polling Station No. 368,10,4,16,179,321,,
369,Polling Station No. 369,4,4,4,85,186,,
370,Polling Station No. 370,1,2,4,85,287,,
371,Polling Station No. 371,0,0,1,34,139,,
372,Polling Station No. 372,6,2,5,62,436,,
